datetime,Average Rainfall,Average England rainfall,average Scotland rainfall,average Wales rainfall
26/03/2024 01:10,0.086658314,0.048036585,0.206037736,0.108
26/03/2024 01:25,0.086480638,0.047333703,0.206037736,0.110666667
26/03/2024 01:33,0.086480638,0.047333703,0.206037736,0.110666667
26/03/2024 01:41,0.086480638,0.047333703,0.206037736,0.110666667
26/03/2024 01:50,0.086681093,0.046961197,0.206037736,0.114666667
26/03/2024 02:05,0.085581625,0.046686253,0.206037736,0.106666667
26/03/2024 02:35,0.082345482,0.04528714,0.206037736,0.086666667
26/03/2024 02:42,0.082659074,0.045966741,0.206037736,0.085333333
26/03/2024 02:49,0.083266515,0.045966741,0.206037736,0.090666667
26/03/2024 03:08,0.08053303,0.045745011,0.206037736,0.068
26/03/2024 03:25,0.080902809,0.045176275,0.206037736,0.074666667
26/03/2024 03:35,0.08105467,0.045176275,0.206037736,0.076
26/03/2024 03:50,0.081214882,0.0454102,0.206037736,0.076
26/03/2024 04:11,0.057181611,0.043848115,0.095075758,0.070666667
26/03/2024 04:31,0.057564492,0.043329646,0.095833333,0.076
26/03/2024 04:49,0.050128225,0.031160398,0.100378788,0.076
26/03/2024 05:07,0.052440485,0.029169248,0.110943396,0.089333333
26/03/2024 05:27,0.038469295,0.006793142,0.113962264,0.096
26/03/2024 05:36,0.038620925,0.006793142,0.114716981,0.096
26/03/2024 05:49,0.038432904,0.005855088,0.115471698,0.098666667
26/03/2024 06:13,0.02638695,0.005174779,0.063257576,0.089333333
26/03/2024 06:31,0.024859636,0.005602876,0.059469697,0.08
26/03/2024 06:39,0.024091047,0.005146018,0.05719697,0.08
26/03/2024 06:51,0.021814871,0.005146018,0.054924242,0.064
26/03/2024 07:06,0.023188494,0.00478674,0.065037594,0.06
26/03/2024 07:22,0.02290303,0.00390708,0.067293233,0.058666667
26/03/2024 07:35,0.022448485,0.004349558,0.068045113,0.050666667
26/03/2024 07:49,0.022156061,0.003922566,0.068045113,0.050666667
26/03/2024 08:12,0.023028788,0.003980088,0.034586466,0.117333333
26/03/2024 08:30,0.026513636,0.004090708,0.037969925,0.141333333
26/03/2024 08:36,0.026589394,0.004090708,0.038345865,0.141333333
26/03/2024 08:49,0.027851515,0.003942478,0.042857143,0.145333333
26/03/2024 09:05,0.032977238,0.003610619,0.076515152,0.133333333
26/03/2024 09:25,0.031304249,0.004047566,0.078787879,0.112
26/03/2024 09:35,0.034490895,0.004047566,0.096212121,0.109333333
26/03/2024 09:51,0.032567629,0.002726164,0.095454545,0.101333333
26/03/2024 10:05,0.051753227,0.00239357,0.216603774,0.057333333
26/03/2024 10:37,0.05976082,0.00366408,0.255849057,0.050666667
26/03/2024 10:50,0.058470008,0.003109756,0.252830189,0.048
